"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"0","Tieteellinen, tekn., taiteell. ja humanistinen työ","Vetenskapligt, tekn., konstn. och human. arbete",19.5.2011,
"03520","Lastentarhanopettaja","Barnträdgårdslärare",19.5.2011,
"03590","Muut lastentarhanopettajat","Övriga barnträdgårdslärare",19.5.2011,
"036","Kouluttajat","Utbildare",19.5.2011,
"03610","Kouluttaja","Utbildare",19.5.2011,
"03620","Koulutussuunnittelija","Utbildningsplanerare",19.5.2011,
"00190","Palosuojeluinsinööri","Brandskyddsingenjör",19.5.2011,
"03620","Koulutuspäällikkö","Utbildningschef",19.5.2011,
"03630","Kurssisihteeri","Kurssekreterare",19.5.2011,
"03630","Koulutussihteeri","Utbildningssekreterare",19.5.2011,
"03690","Muut kouluttajat","Övriga utbildare",19.5.2011,
"03690","Kirjevastausten tarkastaja","Granskare av brevsvar",19.5.2011,
"039","Muu opetustyö","Övrig pedagogiskt arbete",19.5.2011,
"03910","Puhetaidonopettaja","Talpedagog",19.5.2011,
"03920","Opinto-ohjaaja","Studiehandledare",19.5.2011,
"03930","Opintojen ohjaaja","Studieledare",19.5.2011,
"00195","Muut talonrakennusteknikot","Övriga tekniker inom husbyggnad",19.5.2011,
"03940","Opintosihteeri","Studiesekreterare",19.5.2011,
"03990","Muut opetustyötä tekevät","Övriga i pedagogiskt arbete",19.5.2011,
"04","Uskonnollinen ala","Religiöst  arbete",19.5.2011,
"041","Papit","Präster",19.5.2011,
"04110","Evankelisluterilainen pappi","Evangelisk-luthersk präst",19.5.2011,
"04110","Arkkipiispa","Ärkebiskop",19.5.2011,
"04110","Pappi (evankelisluterilainen)","Präst (evangelisk-luthersk)",19.5.2011,
"04110","Piispa (evankelisluterilainen)","Biskop (evangelisk-luthersk)",19.5.2011,
"04120","Ortodoksinen pappi","Ortodox präst",19.5.2011,
"04120","Metropoliitta","Metropolit",19.5.2011,
"002","Sähkötekniikan insinöörit ja teknikot","Ingenjörer och tekniker i elkraftstekniskt arbete",19.5.2011,
"04120","Pappi (ortodoksinen)","Präst (ortodox)",19.5.2011,
"04120","Piispa (ortodoksinen)","Biskop (ortodox)",19.5.2011,
"04130","Roomalaiskatolinen pappi","Romersk-katolsk präst",19.5.2011,
"04130","Pappi (roomalaiskatolinen)","Präst (romersk-katolsk)",19.5.2011,
"04130","Piispa (roomalaiskatolinen)","Biskop (romersk-katolsk)",19.5.2011,
"04140","Saarnaaja","Predikant",19.5.2011,
"04140","Evankelista","Evangelist",19.5.2011,
"04150","Seurakuntalehtori","Församlingslektor",19.5.2011,
"04190","Muut papit","Övriga präster",19.5.2011,
"04190","Buddhalaispappi","Buddistpräst",19.5.2011,
"00210","Sähköinsinööri","Elingenjör",19.5.2011,
"04190","Imaami","Iman",19.5.2011,
"04190","Islamilaisseurakunnan pappi","Muhammedanpräst",19.5.2011,
"04190","Juutalaisen seurakunnan rabbiini","Rabbin inom judisk församling",19.5.2011,
"04190","Lähetyssaarnaaja","Missionär",19.5.2011,
"04190","Pelastusarmeijan upseeri","Officerare inom frälsningsarme'n",19.5.2011,
"049","Muu uskonnollinen työ","Övrigt religiöst arbete",19.5.2011,
"04910","Seurakuntadiakoni","Församlingsdiakon",19.5.2011,
"04920","Seurakuntasisar","Församlingssyster",19.5.2011,
"04920","Diakonissa (seurakuntatyö)","Diakonissa (församling)",19.5.2011,
"04990","Muut uskonnollisen työn tekijät","Övriga inom religiöst arbete",19.5.2011,
"00210","Standardointi-insinööri (sähkövoima)","Standardiseringsingenjör (elkraft)",19.5.2011,
"05","Lainopillinen ala","Juridiskt arbete",19.5.2011,
"051","Tuomioistuinlakimiehet","Domstolsjurister",19.5.2011,
"05110","Tuomioistuinlakimies","Domstolsjurist",19.5.2011,
"05110","Hovioikeuden asessori","Hovrättsassessor",19.5.2011,
"05110","Hovioikeuden presidentti","Hovrättspresident",19.5.2011,
"00030","Kaavoitusarkkitehti","Planläggningsarkitekt",19.5.2011,
"05110","Hovioikeuden viskaali","Hovrättsfiskal",19.5.2011,
"05110","Hovioikeuden neuvos","Hovrättsråd",19.5.2011,
"05110","Kihlakunnantuomari","Häradshövding",19.5.2011,
"05110","Laamanni","Lagman",19.5.2011,
"05110","Neuvosmies","Rådman",19.5.2011,
"00210","Sähköpiirustusten tarkastaja","Ritningsgranskare (el)",19.5.2011,
"05110","Oikeusneuvos","Justitieråd",19.5.2011,
"05110","Hallintoneuvos","Förvaltningsråd",19.5.2011,
