"ARVO","NIMI_FI","NIMI_SV","NIMI_EN","KUVAUS_FI","LYHYTNIMI_FI","KUVAUS_SV","LYHYTNIMI_SV","KUVAUS_EN","LYHYTNIMI_EN","ALKUPVM","LOPPUPVM"
38411,"Kotitalousopetus (Talouskoulu)","Undervisning i huslig ekonomi (hushållskolan)","Domestic education","HUOM. Ei viralliseen luokitukseen kuuluva koodi. Kotitalousopetus ei ole tutkintoon johtava koulutus. ",,,,,,27.05.2013,
"039999","Valmentava ja kuntouttava opetus ja ohjaus","Undervisning och handledning i tränings- och rehabiliteringssyfte",,"HUOM. Ei viralliseen luokitukseen kuuluva koodi. ",,,,,,01.01.2001,
"039996","Ammatilliseen peruskoulutukseen ohjaava ja valmistava koulutus","Utbildning som orienterar och förbereder för grundläggande yrkesutbildning",,"HUOM. Ei viralliseen luokitukseen kuuluva koodi. ",,,,,,01.08.2010,
100000,"Esiopetus","Förskoleundervisning","Pre-Primary Education",,"Esiopetus",,"Förskoleundervisning",,"Pre-Primary Education",01.01.1997,
110000,"Esiopetus","Förskoleundervisning","Pre-Primary Education",,"Esiopetus",,"Förskoleundervisning",,"Pre-Primary Education",01.01.1997,
110100,"Peruskoulun esiopetus","Förskoleundervisning i grundskolan","Pre-Prim. Ed in Compr. Schools",,"Peruskoulun esiopetus",,"Förskoleunderv. i grundskolan",,"Pre-Primary Education in Comprehensive Schools",01.01.1997,
110200,"Päiväkodin esiopetus","Förskoleundervisning i daghem","Pre-Prim. Ed in Day-Care Cent.",,"Päiväkodin esiopetus",,"Förskoleunderv. i daghem",,"Pre-Primary Education in Day-Care Centres",01.01.1997,
101000,"Yleissivistävä koulutus, alempi perusaste","Allmänbildande utbildning på lägre grundnivå","General Education, Level 1",,"Yleissiv. koulutus, 1-aste",,"Allm.bild. utb., nivå 1",,"General Education, Primary Education",01.01.1997,
101100,"Kansakoulu","Folkskola","Primary School",,"Kansakoulu",,"Folkskola",,"Primary School",01.01.1997,
101151,"Kansakoulu","Folkskola","Primary School",,"Kansakoulu",,"Folkskola",,"Primary School",01.01.1997,
101152,"Kansalaiskoulu","Medborgarskola","Civic School",,"Kansalaiskoulu",,"Medborgarskola",,"Civic School",01.01.1997,
101900,"Muu yleissivistävä koulutus, alempi perusaste","Annan allmänbildande utbildning på lägre grundnivå","Other General Education, Lvl 1",,"Muu yleissiv. koulutus, 1-aste",,"Ann. allm.bild. utb., nivå 1",,"Other General Education, Primary Education",01.01.1997,
101999,"Muu tai tuntematon yleissivistävä koulutus, alempi perusaste","Annan eller okänd allmänbildande utbildning på lägre grundnivå","Other General Education, Lvl 1",,"Muu yleissiv. koulutus, 1-aste",,"Ann. allm.bild. utb., nivå 1",,"Other or Unknown General Education, Primary Education",01.01.1997,
201000,"Yleissivistävä koulutus, ylempi perusaste","Allmänbildande utbildning på högre grundnivå","General Education, Level 2",,"Yleissiv. koulutus, 2-aste",,"Allm.bild. utb., nivå 2",,"General Education, Lower Secondary Education",01.01.1997,
201100,"Peruskoulu","Grundskola","Comprehensive School",,"Peruskoulu",,"Grundskola",,"Comprehensive School",01.01.1997,
201101,"Peruskoulu","Grundskola","Comprehensive School",,"Peruskoulu",,"Grundskola",,"Comprehensive School",01.01.1997,
201200,"Keskikoulu","Mellanskola","Middle School",,"Keskikoulu",,"Mellanskola",,"Middle School",01.01.1997,
201251,"Keskikoulu","Mellanskola","Middle School",,"Keskikoulu",,"Mellanskola",,"Middle School",01.01.1997,
201900,"Muu yleissivistävä koulutus, ylempi perusaste","Annan allmänbildande utbildning på högre grundnivå","Other General Education, Lvl 2",,"Muu yleissiv. koulutus, 2-aste",,"Ann. allm.bild. utb., nivå 2",,"Other General Education, Lower Secondary Education",01.01.1997,
201999,"Muu tai tuntematon yleissivistävä koulutus, ylempi perusaste","Annan eller okänd allmänbildande utbildning på högre grundnivå","Other General Education, Lvl 2",,"Muu yleissiv. koulutus, 2-aste",,"Ann. allm.bild. utb., nivå 2",,"Other or Unknown General School, Lower Secondary Education",01.01.1997,
301000,"Ylioppilastutkinto","Studentexamen","Matriculation Examination",,"Ylioppilastutkinto",,"Studentexamen",,"Matriculation Examination",01.01.1997,
301100,"Ylioppilastutkinto","Studentexamen","Matriculation Examination",,"Ylioppilastutkinto",,"Studentexamen",,"Matriculation Examination",01.01.1997,
301101,"Ylioppilastutkinto","Studentexamen","Matriculation Examination",,"Ylioppilastutkinto",,"Studentexamen",,"Matriculation Examination",01.01.1997,
301102,"IB-tutkinto (International Baccalaureate)","IB-examen (International Baccalaureate)","IB Examination",,"IB-tutkinto",,"IB-examen (Intern. Bacc.)",,"International Baccalaureate Examination",01.01.1997,
301103,"Reifeprüfung-tutkinto","Reifeprüfung-examen","Reifeprüfung Examination",,"Reifeprüfung-tutkinto",,"Reifeprüfung-examen",,"Reifeprüfung Examination",01.01.1997,
301104,"EB-tutkinto (European Baccalaureate)","EB-examen (European Baccalaureate)","EB Examination",,"EB-tutkinto",,"EB-examen (European Bacc.)",,"European Baccalaureate Examination",01.01.2009,
301199,"Muu tai tuntematon ylioppilastutkinto","Annan eller okänd studentexamen","Other Matriculation Exam.",,"Muu ylioppilastutkinto",,"Ann. studentex.",,"Other or Unknown Matriculation Examination",01.01.1997,
309000,"Muu yleissivistävä koulutus, keskiaste","Annan allmänbildande utbildning på mellannivå","Other General Education, Lvl 3",,"Muu yleissiv. koulutus, 3-aste",,"Ann. allm.bild. utb., mellann.",,"Other General Education, Upper Secondary Level Education",01.01.1997,
309900,"Muu yleissivistävä koulutus, keskiaste","Annan allmänbildande utbildning på mellannivå","Other General Education, Lvl 3",,"Muu yleissiv. koulutus, 3-aste",,"Ann. allm.bild. utb., nivå 3",,"Other General Education, Upper Secondary Level Education",01.01.1997,
309901,"Gymnasieexamen (Åland)","Gymnasieexamen (Åland)","Upper Sec. Level Exam. (Åland)",,"Gymnasieexamen (Åland)",,"Gymnasieexamen (Åland)",,"Upper Secondary General Level Examination (Åland)",01.01.2002,
309999,"Muu tai tuntematon yleissivistävä koulutus, keskiaste","Annan eller okänd allmänbildande utbildning på mellannivå","Other General Education, Lvl 3",,"Muu yleissiv. koulutus, 3-aste",,"Ann. allm.bild. utb., nivå 3",,"Other or Unknown General Education, Upper Secondary Level Education",01.01.1997,
311000,"Opettajankoulutus, keskiaste","Lärarutbildning på mellannivå","Teacher Education, Level 3",,"Opettajankoulutus, 3-aste",,"Lärarutb., nivå 3",,"Teacher Education, Upper Secondary Level Education",01.01.1997,
311100,"Opettajankoulutus, keskiaste","Lärarutbildning på mellannivå","Teacher Education, Level 3",,"Opettajankoulutus, 3-aste",,"Lärarutb., nivå 3",,"Teacher Education, Upper Secondary Level Education",01.01.1997,
311101,"Liikenneopettaja","Trafiklärare","Driving Instructor",,"Liikenneopettaja",,"Trafiklärare",,"Driving Instructor",01.01.1997,
311199,"Muu tai tuntematon opettajankoulutus, keskiaste","Annan eller okänd lärarutbildning på mellannivå","Other Teacher Education, Lvl 3",,"Muu opettajankoulutus, 3-aste",,"Ann. lärarutb., nivå 3",,"Other or Unknown Teacher Education, Upper Secondary Level Education",01.01.1997,
317000,"Opettajankoulutusalan erikoisammattitutkinto","Specialyrkesexamen inom lärarutbildningsområdet","Teacher Education, SQ",,"Opettajankoulutusalan eat",,"Sp.y.ex. inom lärarutbild.om.",,"Teacher Education, Specialist Qualification",01.01.2009,
